"","pickup_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","fare_amount"
"1","2015-01-27 13:08:24 UTC",-73.97332001,40.76380539,-73.98143005,40.74383545,1,9.72399336632463
"2","2015-01-27 13:08:24 UTC",-73.98686218,40.71938324,-73.99888611,40.73920059,1,9.93543184665751
"3","2011-10-08 11:53:44 UTC",-73.982524,40.75126,-73.979654,40.746139,1,4.58009740614527
"4","2012-12-01 21:12:12 UTC",-73.98116,40.767807,-73.990448,40.751635,1,7.75819365478904
"5","2012-12-01 21:12:12 UTC",-73.966046,40.789775,-73.988565,40.744427,1,14.8540972061659
"6","2012-12-01 21:12:12 UTC",-73.960983,40.765547,-73.979177,40.740053,1,10.3708312256626
"7","2011-10-06 12:10:20 UTC",-73.949013,40.773204,-73.959622,40.770893,1,5.22413256336341
"8","2011-10-06 12:10:20 UTC",-73.777282,40.646636,-73.985083,40.759368,1,47.9090863274717
"9","2011-10-06 12:10:20 UTC",-74.014099,40.709638,-73.995106,40.741365,1,11.3219897131577
"10","2014-02-18 15:22:20 UTC",-73.969582,40.765519,-73.980686,40.770725,1,7.19016010179566
"11","2014-02-18 15:22:20 UTC",-73.989374,40.741973,-73.9993,40.722534,1,9.7124487848936
"12","2014-02-18 15:22:20 UTC",-74.001614,40.740893,-73.956387,40.767437,1,14.8931156379479
"13","2010-03-29 20:20:32 UTC",-73.991198,40.739937,-73.997166,40.735269,1,4.68110907695758
"14","2010-03-29 20:20:32 UTC",-73.982034,40.762723,-74.001867,40.761545,1,6.65445519865608
"15","2011-10-06 03:59:12 UTC",-73.992455,40.728701,-73.983397,40.750149,1,7.79980991769657
"16","2011-10-06 03:59:12 UTC",-73.983583,40.746993,-73.951178,40.785903,1,13.2079778800881
"17","2012-07-15 16:45:04 UTC",-74.006746,40.731721,-74.010204,40.732318,1,4.42530404852488
"18","2012-07-15 16:45:04 UTC",-73.976446,40.785598,-73.95222,40.772121,1,9.04848266248363
"19","2012-07-15 16:45:04 UTC",-73.973548,40.763349,-73.972096,40.756417,1,5.42272515482881
"20","2012-07-15 16:45:04 UTC",-73.970918,40.756025,-73.975954,40.755563,1,4.69131519961561
"21","2014-10-29 02:09:56 UTC",-73.926071,40.705866,-73.941741,40.714789,1,7.64866660293503
"22","2014-06-14 13:39:00 UTC",-73.970555,40.764702,-73.949132,40.7718,1,8.99074758616466
"23","2014-06-14 13:39:00 UTC",-73.989102,40.73636,-73.992767,40.747767,1,7.61606181428795
"24","2014-06-14 13:39:00 UTC",-74.003525,40.74848,-73.99152,40.76296,1,8.8500914565065
"25","2014-06-14 13:39:00 UTC",-73.990352,40.759992,-74.015665,40.711682,1,16.8824256832847
"26","2014-06-14 13:39:00 UTC",-73.989482,40.75745,-74.00085,40.762705,1,7.23550049491747
"27","2014-06-14 13:39:00 UTC",-73.870785,40.773722,-73.741922,40.689945,1,34.5417197807698
"28","2014-06-14 13:39:00 UTC",-73.992682,40.733877,-73.938852,40.80822,1,24.4378513681684
"29","2014-06-14 13:39:00 UTC",-73.95402,40.778705,-73.950277,40.76881,1,7.2828070488188
"30","2014-06-14 13:39:00 UTC",-73.972742,40.743432,-74.007125,40.710192,1,14.6387767023135
"31","2014-06-14 13:39:00 UTC",-73.953515,40.771137,-73.947295,40.796792,1,10.9192185541376
"32","2014-06-14 13:39:00 UTC",-73.99959,40.73863,-74.00512,40.72886,1,7.36057920976405
"33","2014-06-14 13:39:00 UTC",-73.958925,40.763727,-73.958138,40.773337,1,7.12977443002846
"34","2014-06-14 13:39:00 UTC",-73.96996,40.793912,-73.963747,40.768497,1,10.8646521160224
"35","2014-06-14 13:39:00 UTC",-73.955135,40.780062,-73.96334,40.762677,1,9.16405828169245
"36","2014-06-14 13:39:00 UTC",-73.981367,40.74415,-73.993107,40.73326,1,8.15059226588115
"37","2014-06-14 13:39:00 UTC",-73.977608,40.749272,-73.979918,40.739127,1,7.2832350101667
"38","2014-06-14 13:39:00 UTC",-74.005682,40.738755,-73.99507,40.73487,1,6.96897734007065
"39","2014-06-14 13:39:00 UTC",-74.006635,40.74421,-73.988025,40.743882,1,8.16028894290137
"40","2014-06-14 13:39:00 UTC",-73.954927,40.783217,-73.952562,40.789407,1,6.3963843635469
"41","2014-06-14 13:39:00 UTC",-74.00477,40.746977,-73.96411,40.802537,1,19.5407380952246
"42","2014-06-14 13:39:00 UTC",-74.00544,40.745935,-73.985797,40.763722,1,10.2528760781565
"43","2014-06-14 13:39:00 UTC",-74.01311,40.70408,-73.973397,40.751617,1,17.869068774742
"44","2014-06-14 13:39:00 UTC",-73.980173,40.74585,-73.986687,40.766567,1,9.81678586245332
"45","2014-06-14 13:39:00 UTC",-73.99287,40.75307,-73.9894,40.75766,1,6.13053014710729
"46","2014-06-14 13:39:00 UTC",-73.96409,40.776612,-73.981708,40.75233,1,11.2930294311335
"47","2014-06-14 13:39:00 UTC",-73.98736,40.729017,-73.99781,40.729485,1,6.73929229585026
"48","2014-06-14 13:39:00 UTC",-73.96744,40.772032,-73.981815,40.773535,1,7.44321099473163
"49","2014-06-14 13:39:00 UTC",-73.996132,40.726167,-73.984293,40.729047,1,7.08239977702877
"50","2014-06-14 13:39:00 UTC",-73.986387,40.739997,-73.979067,40.737097,1,6.35376625427188
"51","2014-06-14 13:39:00 UTC",-73.997102,40.722197,-73.963812,40.71224,1,11.1590933148159
"52","2014-06-14 13:39:00 UTC",-73.993222,40.747247,-73.959138,40.763547,1,11.9439641653763
"53","2014-06-14 13:39:00 UTC",-73.989773,40.73411,-73.943265,40.691587,1,17.6324929904318
"54","2014-06-14 13:39:00 UTC",-73.986618,40.761682,-73.982262,40.771067,1,7.20335746698858
"55","2014-06-14 13:39:00 UTC",-73.99221,40.730832,-73.998578,40.719815,1,7.68227616447654
"56","2014-06-14 13:39:00 UTC",-73.96384,40.768102,-73.992085,40.730375,1,14.9006537862577
"57","2014-06-14 13:39:00 UTC",-73.96038,40.776002,-73.938887,40.804297,1,12.4291665871359
"58","2014-06-14 13:39:00 UTC",-73.97256,40.756255,-74.000222,40.76261,1,9.95468529274794
"59","2014-06-14 13:39:00 UTC",-73.977347,40.758262,-74.00764,40.732922,1,12.7856029420687
"60","2014-06-14 13:39:00 UTC",-73.96619,40.76811,-73.99328,40.739977,1,12.9315855557033
"61","2014-06-14 13:39:00 UTC",-73.993332,40.689932,-73.978802,40.684532,1,7.73807930103188
"62","2014-06-14 13:39:00 UTC",-73.989652,40.772837,-73.991937,40.749412,1,10.3216542618778
"63","2014-06-14 13:39:00 UTC",-73.994922,40.749567,-73.992607,40.742872,1,6.50625787936759
"64","2014-06-14 13:39:00 UTC",-73.984972,40.736205,-73.990887,40.742212,1,6.63838408816669
"65","2014-06-14 13:39:00 UTC",-73.98,40.745682,-73.97262,40.758292,1,8.08898975923229
"66","2014-06-14 13:39:00 UTC",-73.975752,40.781657,-73.982252,40.77054,1,7.71228772292379
"67","2014-06-14 13:39:00 UTC",-73.994077,40.741197,-73.984512,40.764202,1,10.4667972512037
"68","2014-06-14 13:39:00 UTC",-73.972752,40.76462,-73.966815,40.772452,1,6.99217189556982
"69","2014-06-14 13:39:00 UTC",-73.992943,40.74247,-73.996302,40.738157,1,6.0657157303849
"70","2014-06-14 13:39:00 UTC",-73.96919,40.76946,-74.00148,40.72626,1,16.3451721158922
